TF	target	importance
WT1pKTS	FOXL2	0.3407916534059252
DKK1	DMRT1	0.3307745289765163
DMRT1	DKK1	0.30890417829232647
FOXL2	WT1pKTS	0.2854266882300316
UGR	CBX2	0.28349739930046086
CTNNB1	RSPO1	0.26822219827181787
CBX2	UGR	0.2612762761721412
DHH	FGF9	0.2575487588908709
RSPO1	CTNNB1	0.24554003005651778
PGD2	AMH	0.23880242141455815
RSPO1	WNT4	0.23582489418427607
FGF9	PGD2	0.23310733878073986
PGD2	DHH	0.23138208673122337
FGF9	DHH	0.23087287658997818
DKK1	SRY	0.22625908528525826
PGD2	FGF9	0.2255549831771422
DMRT1	SRY	0.22459242748248848
DHH	PGD2	0.217630828498314
DHH	AMH	0.2167704428816248
SRY	DKK1	0.20942168984122742
RSPO1	NR5A1	0.2047050957274664
AMH	PGD2	0.20019237418900737
FOXL2	CTNNB1	0.19804708082050843
AMH	DHH	0.19664129871102315
FGF9	AMH	0.19474240061066406
CTNNB1	FOXL2	0.1918186672483457
PGD2	SOX9	0.18291723097729007
AMH	FGF9	0.1812645913713521
SRY	DMRT1	0.18110249347403704
FGF9	SOX9	0.1787430749179357
WT1mKTS	GATA4	0.17803555275668417
GATA4	WT1mKTS	0.17216275048258098
CTNNB1	WNT4	0.1677949277376812
WNT4	NR0B1	0.16437602851980115
DHH	SOX9	0.16075476510709313
WNT4	RSPO1	0.1604939873097342
NR0B1	WNT4	0.15855060093104748
RSPO1	NR0B1	0.15442201033133837
NR5A1	RSPO1	0.14658434895640807
SRY	UGR	0.13870830242639984
CTNNB1	NR5A1	0.1345590383488917
SOX9	DKK1	0.13344718407579007
SOX9	DMRT1	0.13226799717928012
NR5A1	WT1pKTS	0.12942385098730202
CTNNB1	WT1pKTS	0.12815956039369425
FOXL2	RSPO1	0.12663263487983878
SRY	WT1pKTS	0.12392270342134443
NR5A1	FOXL2	0.12062683482075329
FOXL2	NR5A1	0.12012567543814395
SOX9	PGD2	0.11600008803175757
SOX9	SRY	0.11597957915030306
SOX9	DHH	0.11338978841985205
AMH	SOX9	0.11252831204186761
SOX9	AMH	0.11051131349717244
SOX9	FGF9	0.10994659984004629
CTNNB1	NR0B1	0.10994423487600545
RSPO1	FOXL2	0.10856318916822838
WT1pKTS	NR5A1	0.10717940120800405
NR5A1	CTNNB1	0.10428558633404217
WT1pKTS	WT1mKTS	0.09777701432717846
UGR	WT1mKTS	0.09702649814594569
NR0B1	UGR	0.09541633500163393
UGR	GATA4	0.09502714215090997
DKK1	CBX2	0.0948824765769658
WT1pKTS	CTNNB1	0.09306887310926952
DKK1	SOX9	0.09267743634511068
NR5A1	CBX2	0.08957832489590217
WNT4	CTNNB1	0.0849956830369687
WT1pKTS	GATA4	0.08433237916465533
WT1pKTS	SRY	0.07595159874245566
NR0B1	RSPO1	0.07503917392605529
NR5A1	WT1mKTS	0.07497049799386271
NR5A1	GATA4	0.07452232975619912
UGR	NR0B1	0.07326360954981972
CBX2	WT1mKTS	0.07253314607334756
NR0B1	GATA4	0.07216905807517353
RSPO1	WT1pKTS	0.07150865958639271
AMH	NR0B1	0.07013313854680728
DMRT1	CBX2	0.06997902102121512
WNT4	UGR	0.0684368885050207
DMRT1	SOX9	0.06807347432076659
RSPO1	CBX2	0.06580407845714381
FGF9	DMRT1	0.06432785665276496
NR0B1	WT1mKTS	0.06380366997950439
FGF9	DKK1	0.06300329802915795
DHH	DMRT1	0.06207008893250094
SRY	CTNNB1	0.06190741929924606
SRY	FOXL2	0.06153828755345914
CBX2	GATA4	0.06132862406750133
DHH	DKK1	0.05901467331169007
DKK1	DHH	0.05837800183874703
PGD2	DMRT1	0.05835673673821461
CTNNB1	CBX2	0.058281716586291894
NR0B1	AMH	0.058268262608088824
FOXL2	WNT4	0.05799265996949163
SRY	NR0B1	0.05711325565780414
DKK1	FGF9	0.05708487110110325
SOX9	WNT4	0.05678623298277662
PGD2	NR0B1	0.05640755592870716
RSPO1	UGR	0.05561498159785404
NR5A1	WNT4	0.055257247515304676
DKK1	UGR	0.054565596774441595
PGD2	DKK1	0.05413369029097001
WT1pKTS	RSPO1	0.05304255826926009
DMRT1	PGD2	0.05282712511909173
NR5A1	NR0B1	0.05259789866864459
WNT4	GATA4	0.05105526382248347
DKK1	PGD2	0.050935019627679164
SOX9	NR5A1	0.050463335417560935
SRY	SOX9	0.04961958933812187
SRY	GATA4	0.04898447194698903
DMRT1	UGR	0.048523897775495775
WNT4	WT1mKTS	0.048196866044284394
NR0B1	NR5A1	0.04809951157612305
DMRT1	AMH	0.04770582275505433
NR0B1	CTNNB1	0.04750436567399701
SRY	NR5A1	0.04719829623792554
DKK1	AMH	0.046665235351828524
FGF9	SRY	0.045972437550850946
DHH	NR0B1	0.04540928118779284
NR5A1	SOX9	0.04532246079620937
SRY	WT1mKTS	0.04524125529592112
NR0B1	PGD2	0.045206837159112036
WNT4	NR5A1	0.04511441089807217
FGF9	NR0B1	0.04473714403732763
DKK1	WT1pKTS	0.044326723831642115
DMRT1	DHH	0.04405933497405074
