Gene1	Gene2	EdgeWeight
WT1pKTS	FOXL2	0.3407916534059252
DKK1	DMRT1	0.3307745289765163
DMRT1	DKK1	0.3089041782923264
FOXL2	WT1pKTS	0.2854266882300316
UGR	CBX2	0.2834973993004608
CTNNB1	RSPO1	0.2682221982718178
CBX2	UGR	0.2612762761721412
DHH	FGF9	0.2575487588908709
RSPO1	CTNNB1	0.2455400300565177
PGD2	AMH	0.2388024214145581
RSPO1	WNT4	0.235824894184276
FGF9	PGD2	0.2331073387807398
PGD2	DHH	0.2313820867312233
FGF9	DHH	0.2308728765899781
DKK1	SRY	0.2262590852852582
PGD2	FGF9	0.2255549831771422
DMRT1	SRY	0.2245924274824884
DHH	PGD2	0.217630828498314
DHH	AMH	0.2167704428816248
SRY	DKK1	0.2094216898412274
RSPO1	NR5A1	0.2047050957274664
AMH	PGD2	0.2001923741890073
FOXL2	CTNNB1	0.1980470808205084
AMH	DHH	0.1966412987110231
FGF9	AMH	0.194742400610664
CTNNB1	FOXL2	0.1918186672483457
PGD2	SOX9	0.18291723097729
AMH	FGF9	0.1812645913713521
SRY	DMRT1	0.181102493474037
FGF9	SOX9	0.1787430749179357
WT1mKTS	GATA4	0.1780355527566841
GATA4	WT1mKTS	0.1721627504825809
CTNNB1	WNT4	0.1677949277376812
WNT4	NR0B1	0.1643760285198011
DHH	SOX9	0.1607547651070931
WNT4	RSPO1	0.1604939873097342
NR0B1	WNT4	0.1585506009310474
RSPO1	NR0B1	0.1544220103313383
NR5A1	RSPO1	0.146584348956408
SRY	UGR	0.1387083024263998
CTNNB1	NR5A1	0.1345590383488917
SOX9	DKK1	0.13344718407579
SOX9	DMRT1	0.1322679971792801
NR5A1	WT1pKTS	0.129423850987302
CTNNB1	WT1pKTS	0.1281595603936942
FOXL2	RSPO1	0.1266326348798387
SRY	WT1pKTS	0.1239227034213444
NR5A1	FOXL2	0.1206268348207532
FOXL2	NR5A1	0.1201256754381439
SOX9	PGD2	0.1160000880317575
SOX9	SRY	0.115979579150303
SOX9	DHH	0.113389788419852
AMH	SOX9	0.1125283120418676
SOX9	AMH	0.1105113134971724
SOX9	FGF9	0.1099465998400462
CTNNB1	NR0B1	0.1099442348760054
RSPO1	FOXL2	0.1085631891682283
WT1pKTS	NR5A1	0.107179401208004
NR5A1	CTNNB1	0.1042855863340421
WT1pKTS	WT1mKTS	0.0977770143271784
UGR	WT1mKTS	0.0970264981459456
NR0B1	UGR	0.0954163350016339
UGR	GATA4	0.0950271421509099
DKK1	CBX2	0.0948824765769658
WT1pKTS	CTNNB1	0.0930688731092695
DKK1	SOX9	0.0926774363451106
NR5A1	CBX2	0.0895783248959021
WNT4	CTNNB1	0.0849956830369687
WT1pKTS	GATA4	0.0843323791646553
WT1pKTS	SRY	0.0759515987424556
NR0B1	RSPO1	0.0750391739260552
NR5A1	WT1mKTS	0.0749704979938627
NR5A1	GATA4	0.0745223297561991
UGR	NR0B1	0.0732636095498197
CBX2	WT1mKTS	0.0725331460733475
NR0B1	GATA4	0.0721690580751735
RSPO1	WT1pKTS	0.0715086595863927
AMH	NR0B1	0.0701331385468072
DMRT1	CBX2	0.0699790210212151
WNT4	UGR	0.0684368885050207
DMRT1	SOX9	0.0680734743207665
RSPO1	CBX2	0.0658040784571438
FGF9	DMRT1	0.0643278566527649
NR0B1	WT1mKTS	0.0638036699795043
FGF9	DKK1	0.0630032980291579
DHH	DMRT1	0.0620700889325009
SRY	CTNNB1	0.061907419299246
SRY	FOXL2	0.0615382875534591
CBX2	GATA4	0.0613286240675013
DHH	DKK1	0.05901467331169
DKK1	DHH	0.058378001838747
PGD2	DMRT1	0.0583567367382146
CTNNB1	CBX2	0.0582817165862918
NR0B1	AMH	0.0582682626080888
FOXL2	WNT4	0.0579926599694916
SRY	NR0B1	0.0571132556578041
DKK1	FGF9	0.0570848711011032
SOX9	WNT4	0.0567862329827766
PGD2	NR0B1	0.0564075559287071
RSPO1	UGR	0.055614981597854
NR5A1	WNT4	0.0552572475153046
DKK1	UGR	0.0545655967744415
PGD2	DKK1	0.05413369029097
WT1pKTS	RSPO1	0.05304255826926
DMRT1	PGD2	0.0528271251190917
NR5A1	NR0B1	0.0525978986686445
WNT4	GATA4	0.0510552638224834
DKK1	PGD2	0.0509350196276791
SOX9	NR5A1	0.0504633354175609
SRY	SOX9	0.0496195893381218
SRY	GATA4	0.048984471946989
DMRT1	UGR	0.0485238977754957
WNT4	WT1mKTS	0.0481968660442843
NR0B1	NR5A1	0.048099511576123
DMRT1	AMH	0.0477058227550543
NR0B1	CTNNB1	0.047504365673997
SRY	NR5A1	0.0471982962379255
DKK1	AMH	0.0466652353518285
FGF9	SRY	0.0459724375508509
DHH	NR0B1	0.0454092811877928
NR5A1	SOX9	0.0453224607962093
SRY	WT1mKTS	0.0452412552959211
NR0B1	PGD2	0.045206837159112
WNT4	NR5A1	0.0451144108980721
FGF9	NR0B1	0.0447371440373276
DKK1	WT1pKTS	0.0443267238316421
DMRT1	DHH	0.0440593349740507
