TF	target	importance
UGR	CBX2	199.8140943683572
WT1pKTS	FOXL2	188.44611359309064
DMRT1	DKK1	165.49537501049653
FOXL2	WT1pKTS	164.5910216963325
RSPO1	CTNNB1	156.97219719698109
CBX2	UGR	156.60899068893895
FGF9	AMH	143.19661451769392
SRY	DMRT1	126.88789727108458
CTNNB1	RSPO1	119.27016686405196
DKK1	DMRT1	119.18873781780748
NR5A1	CBX2	112.9715990999444
DKK1	SRY	111.23325679153871
SRY	DKK1	107.79807090970439
DMRT1	SRY	106.36548547935503
DHH	FGF9	105.10551397802917
DHH	PGD2	101.6672179373854
WNT4	NR0B1	101.58020342433362
AMH	FGF9	98.87065592034581
AMH	PGD2	97.85809560544686
RSPO1	FOXL2	97.61220119146745
FGF9	DHH	97.58863353900466
RSPO1	NR5A1	94.78550120244158
CTNNB1	WT1pKTS	87.56832085249562
WT1mKTS	GATA4	87.2883577759368
FOXL2	CTNNB1	86.67848759457522
NR0B1	UGR	86.08947994282066
SOX9	AMH	84.9077404034135
GATA4	WT1mKTS	84.77283427817673
PGD2	FGF9	80.48657636090785
WNT4	CTNNB1	76.75359561848943
SOX9	DMRT1	76.19244497423252
RSPO1	WNT4	75.38687232389412
WNT4	UGR	74.5557587963024
PGD2	DHH	73.82775297430318
PGD2	AMH	73.81472972799432
CTNNB1	FOXL2	72.77658284332823
RSPO1	NR0B1	72.71639203641561
NR5A1	FOXL2	72.10609421862408
FOXL2	NR5A1	71.94757266626718
DHH	SOX9	71.6729349021234
SRY	WT1pKTS	71.32958675775265
WT1pKTS	CTNNB1	71.02322470705016
RSPO1	CBX2	70.4418948543831
WNT4	RSPO1	69.74144255307537
NR5A1	WT1pKTS	69.61832586509063
UGR	GATA4	69.56000311806261
PGD2	DMRT1	69.51065101355103
CTNNB1	NR5A1	69.26990383129755
SRY	FOXL2	67.31556763571916
DHH	AMH	67.22859371292228
AMH	NR0B1	66.83571456877668
RSPO1	UGR	66.7344430940436
SRY	UGR	64.61282339472668
FGF9	PGD2	62.99813751275423
DKK1	CBX2	62.70302663591607
NR5A1	RSPO1	62.3657555521169
SOX9	SRY	60.93747700882063
CBX2	NR5A1	60.862839072735774
PGD2	SOX9	60.85582272726599
CTNNB1	SRY	60.667368912171305
SOX9	FGF9	60.4070054657657
WNT4	AMH	60.33103110415899
DKK1	PGD2	59.700157844546524
NR5A1	CTNNB1	59.564506743518024
CTNNB1	UGR	58.643598710531975
NR0B1	WNT4	58.448466497222675
FOXL2	RSPO1	58.2559534229673
CTNNB1	CBX2	57.48583386425075
DHH	DKK1	57.39139813349838
DMRT1	SOX9	56.92213492220889
FGF9	DKK1	56.905552701823375
CTNNB1	DMRT1	56.73339622878446
PGD2	DKK1	56.20172366810231
SOX9	DKK1	56.081165808468256
SRY	CBX2	55.595547050743306
WNT4	NR5A1	55.43308695241911
CTNNB1	DKK1	55.0860377814335
CTNNB1	WNT4	54.97128964848842
NR0B1	GATA4	54.636614161178045
NR0B1	CBX2	54.26068544198785
FGF9	NR0B1	54.2005184572753
NR0B1	NR5A1	53.78258520542465
DKK1	SOX9	53.63716953629539
SRY	NR5A1	53.53722217613238
FOXL2	CBX2	53.451761797627704
SOX9	NR5A1	52.43886393976797
NR0B1	FGF9	52.113054524851925
UGR	WT1mKTS	51.52736833099641
UGR	NR0B1	51.26334284667618
WT1pKTS	CBX2	50.96168195903423
FGF9	NR5A1	49.51872787482133
CTNNB1	NR0B1	49.36206798976456
FOXL2	WNT4	48.97841752515141
FGF9	SOX9	48.52614505189297
RSPO1	WT1pKTS	48.08259233649693
DMRT1	UGR	47.84297829737057
DHH	NR0B1	47.68823653128315
NR0B1	PGD2	47.26574099263828
SRY	CTNNB1	46.707615115259806
AMH	DHH	46.572062787395524
SOX9	WNT4	46.36619377455645
WT1pKTS	SRY	46.266195053427204
DKK1	AMH	46.12940097711041
DMRT1	FGF9	46.08370648353871
WNT4	WT1mKTS	45.59636017837849
CBX2	RSPO1	45.501667656543475
WNT4	FOXL2	45.4586215995052
AMH	DMRT1	45.27395603821523
NR0B1	WT1mKTS	45.134615102762545
SRY	RSPO1	44.61081210889851
CBX2	DMRT1	44.6074664407595
WNT4	DHH	44.558361372284516
SOX9	PGD2	43.966448382067114
AMH	SOX9	43.84435391176592
DKK1	FGF9	43.364470045913876
FOXL2	SRY	43.18798246916298
DMRT1	PGD2	42.834058962754916
WNT4	DMRT1	42.781828528842155
WT1pKTS	NR5A1	42.6015365920043
SRY	AMH	42.517448810181534
DMRT1	FOXL2	42.49073964390489
CBX2	DKK1	42.13710713565204
WNT4	CBX2	42.10201375662492
DMRT1	CTNNB1	41.733279455609974
NR0B1	RSPO1	40.570060412150305
NR0B1	DHH	40.44074902348983
PGD2	NR0B1	40.436288057486706
SOX9	CBX2	40.35485798817154
DMRT1	CBX2	39.638782130353405
WT1pKTS	RSPO1	39.20241671580559
AMH	NR5A1	39.07239012843797
WT1mKTS	NR0B1	38.80207670626907
DHH	DMRT1	38.5667327018158
SRY	FGF9	38.35560462406056
AMH	SRY	38.04809264604111
PGD2	SRY	37.67992015567943
NR5A1	UGR	37.61810180390112
WNT4	GATA4	37.492504755781546
RSPO1	FGF9	37.151249574303726
WNT4	FGF9	36.76140136348233
WT1pKTS	DMRT1	36.08675545597912
NR5A1	AMH	35.81415014079553
DMRT1	WT1pKTS	35.35685266664957
DKK1	CTNNB1	35.25846466704604
RSPO1	DKK1	35.2394070846056
AMH	CBX2	35.19871395914908
AMH	DKK1	35.133885324186174
DHH	NR5A1	34.88056611566461
WNT4	PGD2	34.87107414070089
CBX2	FOXL2	34.8235477007272
CBX2	CTNNB1	34.49291381205835
DKK1	DHH	33.880093401362
UGR	NR5A1	33.705366486555704
GATA4	UGR	33.61984630651718
WT1pKTS	DKK1	33.601071423719084
UGR	WNT4	33.52829145886792
NR5A1	WNT4	33.35760372106879
WNT4	DKK1	33.338546933322014
FGF9	SRY	33.29883653220546
WT1pKTS	WT1mKTS	33.116165994464566
NR5A1	NR0B1	33.048019309117315
SOX9	CTNNB1	32.94755996496366
SOX9	UGR	32.94647533301229
UGR	RSPO1	32.77118636594875
SOX9	NR0B1	32.25478779391761
CBX2	NR0B1	31.94982323204498
RSPO1	SRY	31.89335042570812
NR0B1	CTNNB1	31.807990139282815
UGR	CTNNB1	31.502032387883958
DMRT1	WNT4	31.477828672030785
NR5A1	GATA4	30.993319424771475
FGF9	DMRT1	30.95190692221702
SOX9	DHH	30.94270883550679
DHH	CBX2	30.934570432910316
CBX2	WT1mKTS	30.86635574500304
FGF9	UGR	30.593275386104974
DKK1	WT1pKTS	30.415121133366718
GATA4	NR0B1	30.40618308521202
RSPO1	AMH	30.278431322872773
FOXL2	DMRT1	30.15888301833341
NR5A1	PGD2	29.86676576270933
FOXL2	DKK1	29.842978858416316
UGR	DKK1	29.58718859586774
WNT4	WT1pKTS	29.44551323451069
FOXL2	NR0B1	29.26343325130209
SOX9	RSPO1	29.155355090846637
PGD2	NR5A1	29.125215233154137
NR5A1	FGF9	29.06033619091038
DMRT1	NR5A1	28.93460120121517
SRY	WNT4	28.63716005373139
RSPO1	DMRT1	28.467242882507865
DHH	WNT4	28.12160315288036
SRY	PGD2	28.054396202029448
NR5A1	SOX9	27.98402516116697
DMRT1	AMH	27.879298611508922
DKK1	WNT4	27.80785779282147
NR5A1	SRY	27.673801468909982
CTNNB1	WT1mKTS	27.651183030721693
NR5A1	WT1mKTS	27.471606782877483
DKK1	NR5A1	27.43408113354515
CBX2	GATA4	27.0648741721242
PGD2	CTNNB1	26.878663101609266
WT1pKTS	GATA4	26.80236666588753
FOXL2	UGR	26.70947381394099
WT1mKTS	UGR	26.67791916516283
AMH	WNT4	26.43436244224467
FOXL2	WT1mKTS	26.22211871267473
NR0B1	AMH	26.18436915631104
FGF9	WNT4	26.17844457689158
WNT4	SOX9	26.12965328296029
PGD2	WNT4	25.706524209697744
RSPO1	SOX9	25.463560372723588
WNT4	SRY	25.33885343989832
DKK1	FOXL2	25.31663389606722
CTNNB1	GATA4	25.08238047577128
NR0B1	FOXL2	25.07944027459868
DKK1	UGR	25.01100093956674
DMRT1	RSPO1	24.53137516619778
SRY	DHH	23.7718257602835
RSPO1	WT1mKTS	23.73150156962063
UGR	SRY	23.223551296292477
SOX9	FOXL2	22.967649537775387
NR5A1	DHH	22.727725623656728
DKK1	WT1mKTS	22.51097836390414
RSPO1	DHH	22.498996413323034
GATA4	CBX2	22.47332558914274
WT1pKTS	UGR	22.222820722026242
RSPO1	PGD2	22.198684908492346
AMH	UGR	22.197398987818396
WT1mKTS	CBX2	21.568683139814183
DHH	SRY	21.564316683819374
PGD2	CBX2	21.56427667216042
CBX2	WT1pKTS	21.30527206288286
DMRT1	WT1mKTS	21.283572943025728
UGR	FOXL2	20.976738801492772
PGD2	UGR	20.663991667755297
CBX2	SRY	20.592452741294874
SRY	GATA4	20.31563618885966
DHH	RSPO1	19.62524753493821
NR5A1	DKK1	19.528146441394647
RSPO1	GATA4	19.379728491088738
NR0B1	WT1pKTS	19.300637321006082
NR0B1	SOX9	19.285659696162963
CTNNB1	PGD2	19.241607958262573
SRY	NR0B1	18.655602820144978
DHH	UGR	18.65162294945906
GATA4	NR5A1	18.527232399173016
FGF9	CBX2	18.478651259428712
NR0B1	SRY	18.239575158941243
WT1mKTS	WNT4	18.090176426736654
CBX2	SOX9	17.96752074713826
DKK1	RSPO1	17.946849345748067
SRY	WT1mKTS	17.76037751356948
DMRT1	DHH	17.672391389296372
PGD2	RSPO1	17.663810889116895
WT1mKTS	WT1pKTS	17.607672499062215
SRY	SOX9	17.491054114856293
CBX2	DHH	17.000198328801165
NR5A1	DMRT1	16.780200954204208
GATA4	RSPO1	16.64047757721401
FGF9	RSPO1	16.471046770419687
GATA4	WNT4	16.198363638942322
WT1pKTS	FGF9	15.922916459906398
SOX9	WT1mKTS	15.863805881769116
FOXL2	GATA4	15.579518062050317
AMH	CTNNB1	15.575828925756626
CBX2	WNT4	15.463037976519937
WT1mKTS	SRY	15.431584574982796
NR0B1	DMRT1	15.342411332252553
FOXL2	SOX9	15.242249979036517
GATA4	CTNNB1	15.11235467506043
DHH	WT1mKTS	15.016962807742544
WT1pKTS	DHH	15.008611300160101
WT1pKTS	NR0B1	14.949093616760246
CTNNB1	SOX9	14.939664727193685
WT1pKTS	WNT4	14.847506108253238
DHH	WT1pKTS	14.775032728197479
GATA4	WT1pKTS	14.543934277195456
UGR	AMH	14.529619178104177
CTNNB1	AMH	14.453949095671623
FGF9	WT1pKTS	14.381246889626324
UGR	DMRT1	14.361010459002678
NR0B1	DKK1	14.221336768737073
CTNNB1	FGF9	14.194199550047266
DMRT1	GATA4	14.173902845999939
FGF9	GATA4	13.924162197327716
AMH	GATA4	13.807148956830781
DMRT1	NR0B1	13.792841763742517
AMH	RSPO1	13.543919178195855
FGF9	FOXL2	13.499827979902005
CBX2	FGF9	13.453990711741223
SOX9	GATA4	13.37927269916553
FGF9	WT1mKTS	13.354229983573028
DKK1	GATA4	13.26023307036608
PGD2	WT1pKTS	13.126628130583882
DKK1	NR0B1	12.795374509477416
SOX9	WT1pKTS	12.785629372618626
AMH	WT1pKTS	12.527271569198323
AMH	WT1mKTS	12.442238116066703
CBX2	PGD2	12.149954309259549
UGR	SOX9	12.104759399836905
WT1mKTS	CTNNB1	11.69954931089242
WT1mKTS	DMRT1	11.41841522312151
UGR	WT1pKTS	11.239340606933393
WT1pKTS	AMH	11.154167261513857
WT1pKTS	SOX9	10.735837062769614
GATA4	DMRT1	10.690062737288875
UGR	PGD2	10.627478176820334
PGD2	FOXL2	10.408140709590942
DHH	FOXL2	10.289292282899718
WT1mKTS	DKK1	10.28856060333289
DHH	CTNNB1	10.147385758450717
WT1mKTS	NR5A1	10.142707788942387
GATA4	DKK1	10.122446817239725
UGR	DHH	9.882117975657923
DHH	GATA4	9.81879255766599
PGD2	WT1mKTS	9.677724664672965
WT1pKTS	PGD2	9.56127580654451
WT1mKTS	RSPO1	9.132456795764636
FOXL2	AMH	8.998318500050814
CBX2	AMH	8.906923734847602
WT1mKTS	FOXL2	8.699812500741912
CTNNB1	DHH	7.94861446478173
PGD2	GATA4	7.441184381131746
AMH	FOXL2	7.394692911280385
GATA4	SRY	7.357899161750978
FGF9	CTNNB1	7.144350825512061
FOXL2	DHH	6.603027723528423
FOXL2	PGD2	6.602570540324127
WT1mKTS	PGD2	6.339616938992225
GATA4	FOXL2	6.33830267928422
GATA4	DHH	4.602366461455893
GATA4	FGF9	4.338527209224433
WT1mKTS	FGF9	4.274580445039175
WT1mKTS	SOX9	4.254048521713244
WT1mKTS	DHH	3.4737626257086283
WT1mKTS	AMH	3.4316983042157627
UGR	FGF9	3.185123671584571
GATA4	SOX9	2.9434058828891048
FOXL2	FGF9	2.871087420346908
GATA4	AMH	2.2435154406329274
GATA4	PGD2	2.196718018271379
