Gene1	Gene2	EdgeWeight
UGR	UGR	34.4805067012438
UGR	CBX2	28.6323386370569
SRY	UGR	26.6762320053694
WT1mKTS	UGR	26.5572702201116
CBX2	UGR	25.1806735837157
GATA4	UGR	25.0083148825721
CBX2	CBX2	22.7087426696146
NR0B1	UGR	21.8776801455688
WNT4	UGR	21.2105325472184
SRY	CBX2	20.7946405406642
NR0B1	CBX2	18.9208354858854
WT1mKTS	CBX2	18.0390217321687
GATA4	CBX2	17.7889660119098
WNT4	CBX2	17.6946301371832
UGR	SRY	17.5110177408409
UGR	WT1pKTS	16.8375455193327
SRY	SRY	15.6928344483996
RSPO1	UGR	15.3742743544161
UGR	NR5A1	15.1243435348449
CTNNB1	UGR	14.6995435247423
WT1pKTS	UGR	14.4904703737485
SRY	WNT4	13.8876343018897
UGR	WNT4	12.9786455253306
CBX2	NR5A1	12.4802762928691
WT1mKTS	SRY	11.6771061972879
CBX2	SRY	11.635896626591
GATA4	SRY	11.6203478006917
SRY	WT1pKTS	11.5034325083548
NR0B1	WT1pKTS	11.3464441857548
WNT4	SRY	10.9467699900984
GATA4	NR5A1	10.8956253148234
WNT4	WNT4	10.8344610949141
CBX2	WT1pKTS	10.6400178759017
RSPO1	CBX2	10.5474884080633
WNT4	WT1pKTS	10.4509809885927
WT1mKTS	NR5A1	10.3602362621536
CTNNB1	WNT4	10.3122806840869
GATA4	WT1pKTS	10.0500387743897
NR0B1	SRY	9.801616266588
WT1mKTS	WT1pKTS	9.77536896754262
RSPO1	WNT4	9.65385746752473
SRY	RSPO1	9.56998056864873
WT1pKTS	CBX2	9.49440240864697
CBX2	NR0B1	9.32073171421397
WT1mKTS	WNT4	9.30037209086729
NR0B1	WNT4	9.17998385896878
NR5A1	RSPO1	9.17504850327902
RSPO1	RSPO1	9.07505795775932
WT1pKTS	NR5A1	8.85531821106786
SRY	NR5A1	8.70932510364507
CTNNB1	RSPO1	8.67120672807563
CTNNB1	CBX2	8.45023553167983
NR0B1	NR5A1	8.34146559108595
WNT4	NR5A1	8.02211833066613
WT1pKTS	WT1pKTS	7.67235417475837
FOXL2	UGR	7.40906416644507
RSPO1	NR0B1	6.80980471049636
FOXL2	CBX2	6.72757832495831
RSPO1	WT1pKTS	6.72229139904001
UGR	DKK1	6.4987812408783
CTNNB1	SRY	6.3056992642133
SRY	CTNNB1	6.21638867750552
NR0B1	RSPO1	6.19993674303216
NR5A1	WNT4	6.19923522685413
UGR	AMH	6.15632795041045
GATA4	WNT4	6.09650367039216
WT1pKTS	CTNNB1	5.95184093703035
FOXL2	CTNNB1	5.63780569703509
UGR	RSPO1	5.62416891353719
CTNNB1	WT1pKTS	5.51731404794426
RSPO1	NR5A1	5.49575192284274
UGR	CTNNB1	5.44320358157367
FOXL2	SRY	5.27491811018428
RSPO1	SRY	5.22866199385804
SRY	DKK1	5.15618471699192
CBX2	WNT4	5.071726739128
SRY	AMH	5.05050043212294
CBX2	SOX9	4.98822951905159
RSPO1	DKK1	4.96608277048537
NR5A1	NR0B1	4.94671853311326
FOXL2	WNT4	4.93545088843441
NR0B1	DKK1	4.78687056350385
UGR	FOXL2	4.70866920577749
CTNNB1	NR0B1	4.60833087740762
WNT4	DKK1	4.52602156030351
GATA4	AMH	4.52143782409312
CBX2	CTNNB1	4.35557053384292
