Gene1	Gene2	EdgeWeight
UGR	UGR	47.318735220028
WNT4	UGR	46.7378351114429
CBX2	UGR	45.4010332608554
WT1mKTS	UGR	35.4933192554939
GATA4	UGR	33.7921704081897
WT1pKTS	UGR	30.3444268194927
UGR	CBX2	28.6323386370569
WNT4	CBX2	28.030815561638
SRY	UGR	26.6762320053694
CBX2	CBX2	23.9578301360426
NR5A1	UGR	22.0241882481857
NR0B1	UGR	21.8776801455688
SRY	CBX2	20.7946405406642
NR0B1	CBX2	18.9208354858854
WNT4	WT1pKTS	18.3746855769722
WT1mKTS	CBX2	18.0390217321687
GATA4	CBX2	17.7889660119098
UGR	SRY	17.5110177408409
WNT4	SRY	17.1309288942622
UGR	WT1pKTS	16.8375455193327
DMRT1	UGR	16.0398821654136
SRY	SRY	15.6928344483996
RSPO1	UGR	15.3742743544161
UGR	NR5A1	15.1243435348449
DKK1	UGR	14.7359022068629
CTNNB1	UGR	14.6995435247423
CBX2	SRY	14.3276751064879
WNT4	NR0B1	14.2953613161417
SRY	WNT4	13.8876343018897
WT1pKTS	CBX2	13.6033738826639
UGR	WNT4	12.9786455253306
UGR	NR0B1	12.9605708947586
CBX2	NR5A1	12.4802762928691
WNT4	WNT4	12.3282630673888
WT1mKTS	SRY	11.6771061972879
GATA4	SRY	11.6203478006917
CBX2	WT1pKTS	11.5690980271176
SRY	WT1pKTS	11.5034325083548
NR0B1	WT1pKTS	11.3464441857548
UGR	GATA4	11.1166300307405
GATA4	NR5A1	10.8956253148234
DMRT1	CBX2	10.5477048734007
RSPO1	CBX2	10.5474884080633
WT1mKTS	NR5A1	10.3602362621536
CTNNB1	WNT4	10.3122806840869
WNT4	CTNNB1	10.1837535199187
UGR	DMRT1	10.1240948196547
GATA4	WT1pKTS	10.0500387743897
DKK1	CBX2	9.85327176592232
NR0B1	SRY	9.801616266588
WT1mKTS	WT1pKTS	9.77536896754262
WT1pKTS	SRY	9.7340531317339
RSPO1	WNT4	9.65385746752473
SRY	RSPO1	9.56998056864873
WNT4	FGF9	9.45939808863007
UGR	FGF9	9.38164242914756
WNT4	GATA4	9.33250093434087
CBX2	NR0B1	9.32073171421397
WT1mKTS	WNT4	9.30037209086729
NR0B1	WNT4	9.17998385896878
NR5A1	RSPO1	9.17504850327902
RSPO1	RSPO1	9.07505795775932
WT1pKTS	NR5A1	8.85531821106786
GATA4	GATA4	8.81934204941529
SRY	NR5A1	8.70932510364507
CTNNB1	RSPO1	8.67120672807563
WT1mKTS	NR0B1	8.57684053079533
WT1pKTS	WT1pKTS	8.54803362707117
NR5A1	CBX2	8.54564274690155
GATA4	NR0B1	8.52244687383565
CTNNB1	CBX2	8.45023553167983
UGR	CTNNB1	8.40336888473639
NR0B1	NR5A1	8.34146559108595
AMH	UGR	8.28906243065054
WNT4	DMRT1	8.25589157141168
WNT4	NR5A1	8.02211833066613
CBX2	FGF9	7.86570828112433
DMRT1	NR0B1	7.75469157798522
CBX2	CTNNB1	7.7541271987594
CBX2	DMRT1	7.68770962493657
DKK1	NR0B1	7.52907153181411
CBX2	WNT4	7.4253813403562
FGF9	UGR	7.42311468129854
FOXL2	UGR	7.40906416644507
NR5A1	SRY	7.33574325572991
WT1mKTS	GATA4	7.17195168711195
WNT4	DHH	7.14081298118378
DHH	UGR	7.11540150949605
GATA4	DMRT1	7.08892333855143
DMRT1	GATA4	7.02493440512206
RSPO1	WT1pKTS	6.98212656012292
CBX2	GATA4	6.84385902785624
RSPO1	NR0B1	6.80980471049636
NR5A1	WT1pKTS	6.78080411088072
FOXL2	CBX2	6.72757832495831
GATA4	WNT4	6.62667018451314
WNT4	SOX9	6.62330328691036
WT1pKTS	NR0B1	6.53953556049336
PGD2	UGR	6.52056917067609
WT1mKTS	DMRT1	6.50667617782938
UGR	DKK1	6.4987812408783
CTNNB1	SRY	6.3056992642133
UGR	DHH	6.25868348018364
SRY	CTNNB1	6.21638867750552
NR0B1	RSPO1	6.19993674303216
